#Accession	Name	Function	Category	TC
TIGR02160	PA_CoA_Oxy5	phenylacetate-CoA oxygenase/reductase, PaaK subunit	Energy metabolism	420.8
TIGR02161	napC_nirT	periplasmic nitrate (or nitrite) reductase c-type cytochrome, NapC/NirT family	Other	310.6
TIGR02162	torC	trimethylamine-N-oxide reductase c-type cytochrome TorC	Other	478.2
TIGR02163	napH_	ferredoxin-type protein, NapH/MauN family	Other	213.05
TIGR02164	torA	trimethylamine-N-oxide reductase TorA	Other	1465
TIGR02165	cas5_6_GSU0054	CRISPR-associated protein GSU0054/csb2, Dpsyc system	Other	45
TIGR02166	dmsA_ynfE	anaerobic dimethyl sulfoxide reductase, A subunit, DmsA/YnfE family	Other	777.7
TIGR02167	Liste_lipo_26	bacterial surface protein 26-residue repeat	Other	16.6
TIGR02168	SMC_prok_B	chromosome segregation protein SMC	DNA metabolism	567.35
TIGR02169	SMC_prok_A	chromosome segregation protein SMC	DNA metabolism	729.4
TIGR02170	thyX	thymidylate synthase, flavin-dependent	Purines, pyrimidines, nucleosides, and nucleotides	87.9
TIGR02171	Fb_sc_TIGR02171	fibrobacter succinogenes paralogous family TIGR02171	Other	544.35
TIGR02172	Fb_sc_TIGR02172	fibrobacter succinogenes paralogous family TIGR02172	Other	228.2
TIGR02173	cyt_kin_arch	putative cytidylate kinase	Other	102.1
TIGR02174	CXXU_selWTH	selT/selW/selH selenoprotein domain	Other	34.2
TIGR02175	PorC_KorC	2-oxoacid:acceptor oxidoreductase, gamma subunit, pyruvate/2-ketoisovalerate family	Other	81.1
TIGR02176	pyruv_ox_red	pyruvate:ferredoxin (flavodoxin) oxidoreductase	Other	911.35
TIGR02177	PorB_KorB	2-oxoacid:acceptor oxidoreductase, beta subunit, pyruvate/2-ketoisovalerate family	Other	261.9
TIGR02178	yeiP	elongation factor P-like protein YeiP	Protein synthesis	264.05
TIGR02179	PorD_KorD	2-oxoacid:acceptor oxidoreductase, delta subunit, pyruvate/2-ketoisovalerate family	Other	60.05
TIGR02180	GRX_euk	glutaredoxin	Other	87.25
TIGR02181	GRX_bact	glutaredoxin 3	Energy metabolism	90
TIGR02182	GRXB	glutaredoxin, GrxB family	Energy metabolism	186.65
TIGR02183	GRXA	glutaredoxin, GrxA family	Other	106.5
TIGR02184	Myco_arth_vir_N	Mycoplasma virulence family signal region	Other	28.5
TIGR02185	Trep_Strep	putative ECF transporter S component, Trep_Strep family	Transport and binding proteins	76.45
TIGR02186	alph_Pro_TM	conserved hypothetical protein	Other	255.25
TIGR02187	GlrX_arch	glutaredoxin-like domain protein	Other	161.3
TIGR02188	Ac_CoA_lig_AcsA	acetate--CoA ligase	Other	724.95
TIGR02189	GlrX-like_plant	glutaredoxin-like family	Other	93.8
TIGR02190	GlrX-dom	glutaredoxin-family domain	Other	99.3
TIGR02191	RNaseIII	ribonuclease III	Transcription	166.25
TIGR02192	HtrL_YibB	protein YibB	Hypothetical proteins	264.9
TIGR02193	heptsyl_trn_I	lipopolysaccharide heptosyltransferase I	Cell envelope	185.3
TIGR02194	GlrX_NrdH	glutaredoxin-like protein NrdH	Other	85.75
TIGR02195	heptsyl_trn_II	lipopolysaccharide heptosyltransferase II	Cell envelope	134.6
TIGR02196	GlrX_YruB	glutaredoxin-like protein, YruB-family	Other	88.55
TIGR02197	heptose_epim	ADP-glyceromanno-heptose 6-epimerase	Cell envelope	274.6
TIGR02198	rfaE_dom_I	bifunctional protein RfaE, domain I	Cell envelope	345
TIGR02199	rfaE_dom_II	bifunctional protein RfaE, domain II	Cell envelope	181.5
TIGR02200	GlrX_actino	glutaredoxin-like protein	Other	89.5
TIGR02201	heptsyl_trn_III	putative lipopolysaccharide heptosyltransferase III	Cell envelope	170.2
TIGR02202	Ehrlichia_rpt	Ehrlichia chaffeensis immunodominant surface protein repeat	Other	80
TIGR02203	MsbA_lipidA	lipid A export permease/ATP-binding protein MsbA	Transport and binding proteins	602
TIGR02204	MsbA_rel	ABC transporter, permease/ATP-binding protein	Other	780.4
TIGR02205	septum_zipA	cell division protein ZipA	Cellular processes	119.65
TIGR02206	intg_mem_TP0381	conserved hypothetical integral membrane protein TIGR02206	Other	75
TIGR02207	lipid_A_htrB	lipid A biosynthesis lauroyl (or palmitoleoyl) acyltransferase	Cell envelope	297.8
TIGR02208	lipid_A_msbB	lipid A biosynthesis (KDO)2-(lauroyl)-lipid IVA acyltransferase	Cell envelope	336.05
TIGR02209	ftsL_broad	cell division protein FtsL	Cellular processes	42.45
TIGR02210	rodA_shape	rod shape-determining protein RodA	Cellular processes	336.7
TIGR02211	LolD_lipo_ex	lipoprotein releasing system, ATP-binding protein	Protein fate	307.75
TIGR02212	lolCE	lipoprotein releasing system, transmembrane protein, LolC/E family	Protein fate	362.45
TIGR02213	lolE_release	lipoprotein releasing system, transmembrane protein LolE	Protein fate	540.35
TIGR02214	spoVD_pbp	stage V sporulation protein D	Cellular processes	688
TIGR02215	phage_chp_gp8	phage conserved hypothetical protein, phiE125 gp8 family	Mobile and extrachromosomal element functions	39
TIGR02216	phage_TIGR02216	phage conserved hypothetical protein	Mobile and extrachromosomal element functions	56.1
TIGR02217	chp_TIGR02217	TIGR02217 family protein	Mobile and extrachromosomal element functions	136.65
TIGR02218	phg_TIGR02218	phage conserved hypothetical protein BR0599	Mobile and extrachromosomal element functions	80.5
TIGR02219	phage_NlpC_fam	putative phage cell wall peptidase, NlpC/P60 family	Mobile and extrachromosomal element functions	81.9
TIGR02220	phg_TIGR02220	phage conserved hypothetical protein, C-terminal domain	Mobile and extrachromosomal element functions	66.65
TIGR02221	cas_TM1812	CRISPR-associated protein, TM1812 family	Other	76.25
TIGR02222	chap_CsaA	export-related chaperone protein CsaA	Protein fate	119.65
TIGR02223	ftsN	cell division protein FtsN	Cellular processes	107.65
TIGR02224	recomb_XerC	tyrosine recombinase XerC	DNA metabolism	335.15
TIGR02225	recomb_XerD	tyrosine recombinase XerD	DNA metabolism	329.6
TIGR02226	two_anch	N-terminal double-transmembrane domain	Hypothetical proteins	23.05
TIGR02227	sigpep_I_bact	signal peptidase I	Protein fate	47
TIGR02228	sigpep_I_arch	signal peptidase I	Other	51.85
TIGR02229	caa3_sub_IV	caa(3)-type oxidase, subunit IV	Energy metabolism	37.25
TIGR02230	ATPase_gene1	putative F0F1-ATPase subunit	Energy metabolism	46.7
TIGR02231	TIGR02231	conserved hypothetical protein	Other	112.6
TIGR02232	myxo_disulf_rpt	Myxococcus cysteine-rich repeat	Other	20.8
TIGR02234	trp_oprn_chp	membrane protein, TIGR02234 family	Other	71.15
TIGR02235	menA_cyano-plnt	1,4-dihydroxy-2-naphthoate phytyltransferase	Biosynthesis of cofactors, prosthetic groups, and carriers	225
TIGR02236	recomb_radA	DNA repair and recombination protein RadA	DNA metabolism	361.15
TIGR02237	recomb_radB	DNA repair and recombination protein RadB	Other	172.4
TIGR02238	recomb_DMC1	meiotic recombinase Dmc1	Other	447.7
TIGR02239	recomb_RAD51	DNA repair protein RAD51	Other	478.05
TIGR02240	PHA_depoly_arom	poly(3-hydroxyalkanoate) depolymerase	Energy metabolism	250.6
TIGR02241	TIGR02241	conserved hypothetical phage tail region protein	Other	62.4
TIGR02242	tail_TIGR02242	phage tail protein domain	Mobile and extrachromosomal element functions	51.85
TIGR02243	TIGR02243	putative baseplate assembly protein	Mobile and extrachromosomal element functions	155.8
TIGR02244	HAD-IG-Ncltidse	HAD superfamily (subfamily IG) hydrolase, 5'-nucleotidase	Other	237.15
TIGR02245	HAD_IIID1	HAD hydrolase, family IIID	Other	192.25
TIGR02246	TIGR02246	conserved hypothetical protein	Other	33.95
TIGR02247	HAD-1A3-hyp	epoxide hydrolase N-terminal domain-like phosphatase	Other	125.4
TIGR02248	mutH_TIGR	DNA mismatch repair endonuclease MutH	DNA metabolism	229.9
TIGR02249	integrase_gron	integron integrase	Mobile and extrachromosomal element functions	265
TIGR02250	FCP1_euk	FCP1-like phosphatase, phosphatase domain	Other	135.25
TIGR02251	HIF-SF_euk	dullard-like phosphatase domain	Other	139.15
TIGR02252	DREG-2	HAD hydrolase, REG-2-like, family IA	Other	155.2
TIGR02253	CTE7	HAD hydrolase, TIGR02253 family	Other	169.75
TIGR02254	YjjG/YfnB	noncanonical pyrimidine nucleotidase, YjjG family	Other	159.9
TIGR02256	ICE_VC0181	conserved hypothetical protein	Other	127.6
TIGR02257	cobalto_cobN	cobaltochelatase, CobN subunit	Biosynthesis of cofactors, prosthetic groups, and carriers	822.05
TIGR02258	2_5_ligase	2'-5' RNA ligase	Transcription	65.7
TIGR02259	benz_CoA_red_A	benzoyl-CoA reductase, subunit A	Other	578
TIGR02260	benz_CoA_red_B	benzoyl-CoA reductase, subunit B	Other	486.55
TIGR02261	benz_CoA_red_D	benzoyl-CoA reductase, subunit D	Other	312.85
TIGR02262	benz_CoA_lig	benzoate-CoA ligase family	Other	375.25
TIGR02263	benz_CoA_red_C	benzoyl-CoA reductase, subunit C	Other	421.15
TIGR02264	gmx_para_CXXCG	Myxococcus xanthus double-CXXCG motif paralogous family	Other	100.15
TIGR02265	Mxa_TIGR02265	Myxococcales-restricted protein, TIGR02265 family	Other	25
TIGR02266	gmx_TIGR02266	Myxococcus xanthus paralogous domain TIGR02266	Other	68.7
TIGR02267	TIGR02267	DUSAM domain	Other	60
TIGR02268	TIGR02268	Myxococcus xanthus paralogous family TIGR02268	Other	76.15
TIGR02269	TIGR02269	Myxococcus xanthus paralogous lipoprotein family TIGR02269	Other	85.75
TIGR02270	TIGR02270	conserved hypothetical protein	Hypothetical proteins	206.8
TIGR02271	TIGR02271	conserved domain	Other	49.75
TIGR02272	gentisate_1_2	gentisate 1,2-dioxygenase	Other	442.1
TIGR02273	16S_RimM	16S rRNA processing protein RimM	Transcription	66.2
TIGR02274	dCTP_deam	deoxycytidine triphosphate deaminase	Purines, pyrimidines, nucleosides, and nucleotides	92.8
TIGR02275	DHB_AMP_lig	(2,3-dihydroxybenzoyl)adenylate synthase	Transport and binding proteins	723.55
TIGR02276	beta_rpt_yvtn	40-residue YVTN family beta-propeller repeat	Other	27.85
TIGR02277	PaaX_trns_reg	phenylacetic acid degradation operon negative regulatory protein PaaX	Regulatory functions	264.55
TIGR02278	PaaN-DH	phenylacetic acid degradation protein paaN	Other	562.8
TIGR02279	PaaC-3OHAcCoADH	3-hydroxyacyl-CoA dehydrogenase PaaC	Other	669.4
TIGR02280	PaaB1	phenylacetate degradation probable enoyl-CoA hydratase PaaB	Other	345.15
TIGR02281	clan_AA_DTGA	clan AA aspartic protease, TIGR02281 family	Protein fate	57.95
TIGR02282	MltB	lytic murein transglycosylase B	Cell envelope	281.4
TIGR02283	MltB_2	lytic murein transglycosylase	Cell envelope	248.45
TIGR02284	TIGR02284	conserved hypothetical protein	Other	44.8
TIGR02285	TIGR02285	conserved hypothetical protein	Hypothetical proteins	143.3
TIGR02286	PaaD	phenylacetic acid degradation protein PaaD	Other	118.9
TIGR02287	PaaY	phenylacetic acid degradation protein PaaY	Energy metabolism	319.6
TIGR02288	PaaN_2	phenylacetic acid degradation protein paaN	Other	578.75
TIGR02289	M3_not_pepF	oligoendopeptidase, M3 family	Other	442.35
TIGR02290	M3_fam_3	oligoendopeptidase, pepF/M3 family	Other	561.7
TIGR02291	rimK_rel_E_lig	alpha-L-glutamate ligase homolog	Other	314.2
TIGR02292	ygfB_yecA	yecA family protein	Unknown function	33.8
TIGR02293	TAS_TIGR02293	putative toxin-antitoxin system antitoxin component, TIGR02293 family	Cellular processes	57
TIGR02294	nickel_nikA	nickel ABC transporter, nickel/metallophore periplasmic binding protein	Transport and binding proteins	393
TIGR02295	HpaD	3,4-dihydroxyphenylacetate 2,3-dioxygenase	Other	321.4
TIGR02296	HpaC	4-hydroxyphenylacetate 3-monooxygenase, reductase component	Other	205.95
TIGR02297	HpaA	4-hydroxyphenylacetate catabolism regulatory protein HpaA	Other	274.65
TIGR02298	HpaD_Fe	3,4-dihydroxyphenylacetate 2,3-dioxygenase	Other	315.95
TIGR02299	HpaE	5-carboxymethyl-2-hydroxymuconate semialdehyde dehydrogenase	Other	638.35
TIGR02300	FYDLN_acid	TIGR02300 family protein	Other	41.65
TIGR02301	TIGR02301	TIGR02301 family protein	Other	42.55
TIGR02302	aProt_lowcomp	TIGR02302 family protein	Other	394.3
TIGR02303	HpaG-C-term	4-hydroxyphenylacetate degradation bifunctional isomerase/decarboxylase, C-terminal subunit	Other	276.4
TIGR02304	aden_form_hyp	putative adenylate-forming enzyme	Other	251.9
TIGR02305	HpaG-N-term	4-hydroxyphenylacetate degradation bifunctional isomerase/decarboxylase, N-terminal subunit	Other	228.65
TIGR02306	RNA_lig_DRB0094	RNA ligase	Other	151.15
TIGR02307	RNA_lig_RNL2	RNA ligase, Rnl2 family	Transcription	197.15
TIGR02308	RNA_lig_T4_1	RNA ligase, T4 RnlA family	Transcription	242.25
TIGR02309	HpaB-1	4-hydroxyphenylacetate 3-monooxygenase, oxygenase component	Other	480.2
TIGR02310	HpaB-2	4-hydroxyphenylacetate 3-monooxygenase, oxygenase component	Other	885.2
TIGR02311	HpaI	2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase	Other	368.8
TIGR02312	HpaH	2-oxo-hepta-3-ene-1,7-dioic acid hydratase	Other	351.5
TIGR02313	HpaI-NOT-DapA	2,4-dihydroxyhept-2-ene-1,7-dioic acid aldolase	Other	396.7
TIGR02314	ABC_MetN	D-methionine ABC transporter, ATP-binding protein	Other	499.7
TIGR02315	ABC_phnC	phosphonate ABC transporter, ATP-binding protein	Transport and binding proteins	266.1
TIGR02316	propion_prpE	propionate--CoA ligase	Other	827.4
TIGR02317	prpB	methylisocitrate lyase	Other	354.4
TIGR02318	phosphono_phnM	phosphonate metabolism protein PhnM	Energy metabolism	390.55
TIGR02319	CPEP_Pphonmut	carboxyvinyl-carboxyphosphonate phosphorylmutase	Other	420.05
TIGR02320	PEP_mutase	phosphoenolpyruvate mutase	Other	319.55
TIGR02321	Pphn_pyruv_hyd	phosphonopyruvate hydrolase	Other	374.4
TIGR02322	phosphon_PhnN	phosphonate metabolism protein/1,5-bisphosphokinase (PRPP-forming) PhnN	Central intermediary metabolism	156
TIGR02323	CP_lyasePhnK	phosphonate C-P lyase system protein PhnK	Central intermediary metabolism	302.85
TIGR02324	CP_lyasePhnL	phosphonate C-P lyase system protein PhnL	Other	256.3
TIGR02325	C_P_lyase_phnF	phosphonate metabolism transcriptional regulator PhnF	Transport and binding proteins	156.8
TIGR02326	transamin_PhnW	2-aminoethylphosphonate--pyruvate transaminase	Central intermediary metabolism	400.8
TIGR02327	int_mem_ywzB	conserved hypothetical integral membrane protein	Other	39.65
TIGR02328	TIGR02328	conserved hypothetical protein	Hypothetical proteins	121.15
TIGR02329	propionate_PrpR	propionate catabolism operon regulatory protein PrpR	Regulatory functions	499.2
TIGR02330	prpD	2-methylcitrate dehydratase	Other	458
TIGR02331	rib_alpha	Rib/alpha/Esp surface antigen repeat	Other	35.25
TIGR02332	HpaX	4-hydroxyphenylacetate permease	Other	615.4
TIGR02333	2met_isocit_dHY	2-methylisocitrate dehydratase, Fe/S-dependent	Other	1419.85
TIGR02334	prpF	probable AcnD-accessory protein PrpF	Energy metabolism	440.55
TIGR02335	hydr_PhnA	phosphonoacetate hydrolase	Other	407.55
TIGR02336	TIGR02336	1,3-beta-galactosyl-N-acetylhexosamine phosphorylase	Energy metabolism	560.3
TIGR02337	HpaR	homoprotocatechuate degradation operon regulator, HpaR	Other	121.2
TIGR02338	gimC_beta	prefoldin, beta subunit	Other	73
TIGR02339	thermosome_arch	thermosome, various subunits, archaeal	Protein fate	671.1
TIGR02340	chap_CCT_alpha	T-complex protein 1, alpha subunit	Other	800.2
TIGR02341	chap_CCT_beta	T-complex protein 1, beta subunit	Other	522.15
TIGR02342	chap_CCT_delta	T-complex protein 1, delta subunit	Other	695.35
TIGR02343	chap_CCT_epsi	T-complex protein 1, epsilon subunit	Other	710.5
TIGR02344	chap_CCT_gamma	T-complex protein 1, gamma subunit	Other	553.45
TIGR02345	chap_CCT_eta	T-complex protein 1, eta subunit	Other	669.2
TIGR02346	chap_CCT_theta	T-complex protein 1, theta subunit	Other	455.9
TIGR02347	chap_CCT_zeta	T-complex protein 1, zeta subunit	Other	587.15
TIGR02348	GroEL	chaperonin GroL	Protein fate	582.1
TIGR02349	DnaJ_bact	chaperone protein DnaJ	Other	377.2
TIGR02350	prok_dnaK	chaperone protein DnaK	Protein fate	822.55
TIGR02351	thiH	thiazole biosynthesis protein ThiH	Biosynthesis of cofactors, prosthetic groups, and carriers	377.8
TIGR02352	thiamin_ThiO	glycine oxidase ThiO	Biosynthesis of cofactors, prosthetic groups, and carriers	250.8
TIGR02353	NRPS_term_dom	non-ribosomal peptide synthetase terminal domain of unknown function	Other	423.1
TIGR02354	thiF_fam2	thiamine biosynthesis protein ThiF	Biosynthesis of cofactors, prosthetic groups, and carriers	152.2
TIGR02355	moeB	molybdopterin synthase sulfurylase MoeB	Biosynthesis of cofactors, prosthetic groups, and carriers	376.55
TIGR02356	adenyl_thiF	thiazole biosynthesis adenylyltransferase ThiF	Biosynthesis of cofactors, prosthetic groups, and carriers	275.25
TIGR02357	ECF_ThiT_YuaJ	energy-coupled thiamine transporter ThiT	Transport and binding proteins	108.45
TIGR02358	thia_cytX	putative hydroxymethylpyrimidine transporter CytX	Transport and binding proteins	309.85
TIGR02359	thiW	energy coupling factor transporter S component ThiW	Transport and binding proteins	84.35
TIGR02360	pbenz_hydroxyl	4-hydroxybenzoate 3-monooxygenase	Energy metabolism	538.7
TIGR02361	dak_ATP	dihydroxyacetone kinase	Other	574.95
TIGR02362	dhaK1b	probable dihydroxyacetone kinase DhaK1b subunit	Other	413.25
TIGR02363	dhaK1	dihydroxyacetone kinase, DhaK subunit	Other	406.25
TIGR02364	dha_pts	dihydroxyacetone kinase, phosphotransfer subunit	Other	98.25
TIGR02365	dha_L_ycgS	dihydroxyacetone kinase, L subunit	Other	138.3
TIGR02366	DHAK_reg	probable dihydroxyacetone kinase regulator	Other	129
TIGR02367	PylS_Cterm	pyrrolysine--tRNA ligase, C-terminal region	Protein synthesis	178.15
TIGR02368	dimeth_PyL	dimethylamine:corrinoid methyltransferase	Other	369.1
TIGR02369	trimeth_pyl	trimethylamine:corrinoid methyltransferase	Other	575.35
TIGR02370	pyl_corrinoid	methyltransferase cognate corrinoid proteins, Methanosarcina family	Other	215.3
TIGR02371	ala_DH_arch	alanine dehydrogenase	Other	409.15
TIGR02372	4_coum_CoA_lig	4-coumarate--CoA ligase	Other	334.7
TIGR02373	photo_yellow	photoactive yellow protein	Other	143.05
TIGR02374	nitri_red_nirB	nitrite reductase [NAD(P)H], large subunit	Central intermediary metabolism	578.35
TIGR02375	pseudoazurin	pseudoazurin	Energy metabolism	109.85
TIGR02376	Cu_nitrite_red	nitrite reductase, copper-containing	Central intermediary metabolism	296.3
TIGR02377	MocE_fam_FeS	Rieske [2Fe-2S] domain protein, MocE subfamily	Other	136.15
TIGR02378	nirD_assim_sml	nitrite reductase [NAD(P)H], small subunit	Central intermediary metabolism	74.65
TIGR02379	ECA_wecE	TDP-4-keto-6-deoxy-D-glucose transaminase	Cell envelope	434.85
TIGR02380	ECA_wecA	undecaprenyl-phosphate alpha-N-acetylglucosaminyl 1-phosphatetransferase	Cell envelope	326.05
TIGR02381	cspD	cold shock domain protein CspD	DNA metabolism	115.4
TIGR02382	wecD_rffC	TDP-D-fucosamine acetyltransferase	Cell envelope	195.1
TIGR02383	Hfq	RNA chaperone Hfq	Regulatory functions	61.7
TIGR02384	RelB_DinJ	addiction module antitoxin, RelB/DinJ family	Mobile and extrachromosomal element functions	45.65
TIGR02385	RelE_StbE	addiction module toxin, RelE/StbE family	Mobile and extrachromosomal element functions	27.9
TIGR02386	rpoC_TIGR	DNA-directed RNA polymerase, beta' subunit	Transcription	963.5
TIGR02387	rpoC1_cyan	DNA-directed RNA polymerase, gamma subunit	Other	975.9
TIGR02388	rpoC2_cyan	DNA-directed RNA polymerase, beta'' subunit	Transcription	467.4
TIGR02389	RNA_pol_rpoA2	DNA-directed RNA polymerase, subunit A''	Transcription	420.65
TIGR02390	RNA_pol_rpoA1	DNA-directed RNA polymerase subunit A'	Other	1042.55
TIGR02391	hypoth_ymh	TIGR02391 family protein	Hypothetical proteins	39.45
TIGR02392	rpoH_proteo	alternative sigma factor RpoH	Transcription	323.1
TIGR02393	RpoD_Cterm	RNA polymerase sigma factor RpoD	Transcription	354
TIGR02394	rpoS_proteo	RNA polymerase sigma factor RpoS	Transcription	378.7
TIGR02395	rpoN_sigma	RNA polymerase sigma-54 factor	Transcription	277.35
TIGR02396	diverge_rpsU	rpsU-divergently transcribed protein	Unknown function	74.55
TIGR02397	dnaX_nterm	DNA polymerase III, subunit gamma and tau	DNA metabolism	250
TIGR02398	gluc_glyc_Psyn	glucosylglycerol-phosphate synthase	Other	569
TIGR02399	salt_tol_Pase	glucosylglycerol 3-phosphatase	Other	365.5
TIGR02400	trehalose_OtsA	alpha,alpha-trehalose-phosphate synthase (UDP-forming)	Cellular processes	564.85
TIGR02401	trehalose_TreY	malto-oligosyltrehalose synthase	Energy metabolism	498.65
TIGR02402	trehalose_TreZ	malto-oligosyltrehalose trehalohydrolase	Energy metabolism	538.8
TIGR02403	trehalose_treC	alpha,alpha-phosphotrehalase	Other	799.05
TIGR02404	trehalos_R_Bsub	trehalose operon repressor	Regulatory functions	211.95
TIGR02405	trehalos_R_Ecol	trehalose operon repressor	Regulatory functions	357.35
TIGR02406	ectoine_EctA	diaminobutyrate acetyltransferase	Cellular processes	120.6
TIGR02407	ectoine_ectB	diaminobutyrate--2-oxoglutarate aminotransferase	Cellular processes	552.2
TIGR02408	ectoine_ThpD	ectoine hydroxylase	Other	336.5
TIGR02409	carnitine_bodg	gamma-butyrobetaine hydroxylase	Other	414.75
TIGR02410	carnitine_TMLD	trimethyllysine dioxygenase	Other	268.3
TIGR02411	leuko_A4_hydro	leukotriene A-4 hydrolase/aminopeptidase	Other	761.7
TIGR02412	pepN_strep_liv	aminopeptidase N	Other	591.2
TIGR02413	Bac_small_yrzI	Bacillus tandem small hypothetical protein	Other	47.05
TIGR02414	pepN_proteo	aminopeptidase N	Protein fate	718.2
TIGR02415	23BDH	acetoin reductases	Energy metabolism	304.35
TIGR02416	CO_dehy_Mo_lg	carbon-monoxide dehydrogenase, large subunit	Energy metabolism	991.15
TIGR02417	fruct_sucro_rep	D-fructose-responsive transcription factor	Regulatory functions	389.55
TIGR02418	acolac_catab	acetolactate synthase, catabolic	Energy metabolism	551.1
TIGR02419	C4_traR_proteo	phage/conjugal plasmid C-4 type zinc finger protein, TraR family	Mobile and extrachromosomal element functions	59.7
TIGR02420	dksA	RNA polymerase-binding protein DksA	Transcription	115.5
TIGR02421	QEGLA	conserved hypothetical protein	Other	338.65
TIGR02422	protocat_beta	protocatechuate 3,4-dioxygenase, beta subunit	Energy metabolism	296.4
TIGR02423	protocat_alph	protocatechuate 3,4-dioxygenase, alpha subunit	Energy metabolism	126.25
TIGR02424	TF_pcaQ	pca operon transcription factor PcaQ	Regulatory functions	303.8
TIGR02425	decarb_PcaC	4-carboxymuconolactone decarboxylase	Energy metabolism	155.7
TIGR02426	protocat_pcaB	3-carboxy-cis,cis-muconate cycloisomerase	Energy metabolism	355.75
TIGR02427	protocat_pcaD	3-oxoadipate enol-lactonase	Energy metabolism	255.85
TIGR02428	pcaJ_scoB_fam	3-oxoacid CoA-transferase, B subunit	Other	243.55
TIGR02429	pcaI_scoA_fam	3-oxoacid CoA-transferase, A subunit	Other	128.5
TIGR02430	pcaF	3-oxoadipyl-CoA thiolase	Other	597
TIGR02431	pcaR_pcaU	beta-ketoadipate pathway transcriptional regulators, PcaR/PcaU/PobR family	Regulatory functions	284.75
TIGR02432	lysidine_TilS_N	tRNA(Ile)-lysidine synthetase	Protein synthesis	93.6
TIGR02433	lysidine_TilS_C	tRNA(Ile)-lysidine synthetase, C-terminal domain	Protein synthesis	20.2
TIGR02434	CobF	precorrin-6A synthase (deacetylating)	Other	195.8
TIGR02435	CobG	precorrin-3B synthase	Biosynthesis of cofactors, prosthetic groups, and carriers	234.8
TIGR02436	TIGR02436	four helix bundle protein	Other	24
TIGR02437	FadB	fatty oxidation complex, alpha subunit FadB	Fatty acid and phospholipid metabolism	933.55
TIGR02438	catachol_actin	catechol 1,2-dioxygenase	Other	404.4
TIGR02439	catechol_proteo	catechol 1,2-dioxygenase	Energy metabolism	392
TIGR02440	FadJ	fatty oxidation complex, alpha subunit FadJ	Fatty acid and phospholipid metabolism	968.45
TIGR02441	fa_ox_alpha_mit	fatty acid oxidation complex, alpha subunit, mitochondrial	Other	964.65
TIGR02442	Cob-chelat-sub	cobaltochelatase subunit	Other	779.45
TIGR02443	TIGR02443	conserved hypothetical protein	Other	49.45
TIGR02444	TIGR02444	TIGR02444 family protein	Hypothetical proteins	48.3
TIGR02445	fadA	acetyl-CoA C-acyltransferase FadA	Fatty acid and phospholipid metabolism	591
TIGR02446	FadI	acetyl-CoA C-acyltransferase FadI	Fatty acid and phospholipid metabolism	711.55
TIGR02447	yiiD_Cterm	putative thioesterase domain	Other	97.1
TIGR02448	TIGR02448	conserverd hypothetical protein	Other	53.85
TIGR02449	TIGR02449	TIGR02449 family protein	Other	55.4
TIGR02450	TIGR02450	tryptophan-rich conserved hypothetical protein	Other	36.85
TIGR02451	anti_sig_ChrR	anti-sigma factor, putative, ChrR family	Regulatory functions	124.5
TIGR02452	TIGR02452	TIGR02452 family protein	Other	50
TIGR02453	TIGR02453	TIGR02453 family protein	Other	105.4
TIGR02454	ECF_T_CbiQ	cobalt ECF transporter T component CbiQ	Transport and binding proteins	111.8
TIGR02455	TreS_stutzeri	trehalose synthase	Energy metabolism	719.4
TIGR02456	treS_nterm	trehalose synthase	Energy metabolism	678.35
TIGR02457	TreS_Cterm	putative maltokinase	Energy metabolism	375.05
TIGR02458	CbtA	cobalt transporter subunit CbtA (proposed)	Other	182.9
TIGR02459	CbtB	cobalt transporter subunit CbtB (proposed)	Other	64.4
TIGR02460	osmo_MPGsynth	mannosyl-3-phosphoglycerate synthase	Other	351.2
TIGR02461	osmo_MPG_phos	mannosyl-3-phosphoglycerate phosphatase	Other	244.35
TIGR02462	pyranose_ox	pyranose oxidase	Other	544.9
TIGR02463	MPGP_rel	mannosyl-3-phosphoglycerate phosphatase homolog	Unknown function	282
TIGR02464	ribofla_fusion	conserved hypothetical protein	Other	73.7
TIGR02465	chlorocat_1_2	chlorocatechol 1,2-dioxygenase	Other	359.25
TIGR02466	TIGR02466	conserved hypothetical protein	Hypothetical proteins	62.5
TIGR02467	CbiE	precorrin-6y C5,15-methyltransferase (decarboxylating), CbiE subunit	Other	92.9
TIGR02468	sucrsPsyn_pln	sucrose phosphate synthase	Other	1143.95
TIGR02469	CbiT	precorrin-6Y C5,15-methyltransferase (decarboxylating), CbiT subunit	Biosynthesis of cofactors, prosthetic groups, and carriers	78.3
TIGR02470	sucr_synth	sucrose synthase	Energy metabolism	810.4
TIGR02471	sucr_syn_bact_C	sucrose-phosphate synthase, sucrose phosphatase-like domain	Other	209.75
TIGR02472	sucr_P_syn_N	sucrose-phosphate synthase, putative, glycosyltransferase domain	Other	576
TIGR02473	flagell_FliJ	flagellar export protein FliJ	Other	50.45
TIGR02474	pec_lyase	pectate lyase	Energy metabolism	189.8
TIGR02475	CobW	cobalamin biosynthesis protein CobW	Biosynthesis of cofactors, prosthetic groups, and carriers	332.1
TIGR02476	BluB	5,6-dimethylbenzimidazole synthase	Biosynthesis of cofactors, prosthetic groups, and carriers	150
TIGR02477	PFKA_PPi	diphosphate--fructose-6-phosphate 1-phosphotransferase	Energy metabolism	587.95
